date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:34	128/128	---MCZ	200	added ('OK')	text/plain	etag:%2220549-1772815600;gz%22	https://www.alomariya.org/robots.txt		(from )
12:08:35	159997/159997	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:29%20GMT	https://www.alomariya.org/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/index.html	(from )
12:08:35	70961/70961	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Feb%202026%2019:45:43%20GMT	https://www.alomariya.org/wp-content/litespeed/css/c7940d9455021c84861b62b017e5ee31.css?ver=cab85	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/litespeed/css/c7940d9455021c84861b62b017e5ee3193d9.css	(from https://www.alomariya.org/)
12:08:36	5727/5727	---M-Z	200	added ('OK')	application/json	etag:%2222283-1773286710;gz%22	https://www.alomariya.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.alomariya.org%2F	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-json/oembed/1.0/embed9d11.json	(from https://www.alomariya.org/)
12:08:37	6472/6472	---M-Z	200	added ('OK')	text/xml	etag:%2222284-1773286711;gz%22	https://www.alomariya.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.alomariya.org%2F&format=xml	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-json/oembed/1.0/embedddc3	(from https://www.alomariya.org/)
12:08:39	24508/24508	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Mar%202026%2009:09:32%20GMT	https://www.alomariya.org/wp-json/wp/v2/pages/8	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-json/wp/v2/pages/8.json	(from https://www.alomariya.org/)
12:08:39	817/817	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Mar%202026%2009:09:34%20GMT	https://www.alomariya.org/xmlrpc.php?rsd	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/xmlrpc0db0.php	(from https://www.alomariya.org/)
12:08:40	393572/393572	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Mar%202026%2009:09:34%20GMT	https://www.alomariya.org/wp-json/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-json/index.html	(from https://www.alomariya.org/)
12:08:40	730/730	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Mar%202025%2017:48:55%20GMT	https://www.alomariya.org/wp-content/uploads/2025/03/cropped-logo-white-and-black-copy-1-32x32.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/03/cropped-logo-white-and-black-copy-1-32x32.png	(from https://www.alomariya.org/)
12:08:41	5410/5410	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Mar%202025%2017:48:55%20GMT	https://www.alomariya.org/wp-content/uploads/2025/03/cropped-logo-white-and-black-copy-1-192x192.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/03/cropped-logo-white-and-black-copy-1-192x192.png	(from https://www.alomariya.org/)
12:08:42	5104/5104	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Mar%202025%2017:48:55%20GMT	https://www.alomariya.org/wp-content/uploads/2025/03/cropped-logo-white-and-black-copy-1-180x180.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/03/cropped-logo-white-and-black-copy-1-180x180.png	(from https://www.alomariya.org/)
12:08:43	99542/99542	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Apr%202025%2014:29:17%20GMT	https://www.alomariya.org/wp-content/uploads/2024/12/banner.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2024/12/banner.png	(from https://www.alomariya.org/)
12:08:45	429622/429622	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Mar%202025%2017:33:35%20GMT	https://www.alomariya.org/wp-content/uploads/2025/03/logo-white-and-black-copy-1.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/03/logo-white-and-black-copy-1.png	(from https://www.alomariya.org/)
12:08:46	27388/27388	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2001:51:34%20GMT	https://www.alomariya.org/wp-content/uploads/2025/06/%d8%a7%d9%84%d8%b1%d8%a6%d9%8a%d8%b3%d9%8a%d8%a9-%d8%ba%d8%a7%d9%85%d9%82-01.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/06/%d8%a7%d9%84%d8%b1%d8%a6%d9%8a%d8%b3%d9%8a%d8%a9-%d8%ba%d8%a7%d9%85%d9%82-01.png	(from https://www.alomariya.org/)
12:08:46	25879/25879	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2002:01:22%20GMT	https://www.alomariya.org/wp-content/uploads/2025/06/%d8%b1%d8%a7%d8%b3%d9%84%d9%86%d8%a7-%d8%ba%d8%a7%d9%85%d9%82-03.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/06/%d8%b1%d8%a7%d8%b3%d9%84%d9%86%d8%a7-%d8%ba%d8%a7%d9%85%d9%82-03.png	(from https://www.alomariya.org/)
12:08:47	25827/25827	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2001:52:20%20GMT	https://www.alomariya.org/wp-content/uploads/2025/06/%d9%85%d8%b1%d8%a6%d9%8a%d8%a7%d8%aa-%d8%ba%d8%a7%d9%85%d9%82-01.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/06/%d9%85%d8%b1%d8%a6%d9%8a%d8%a7%d8%aa-%d8%ba%d8%a7%d9%85%d9%82-01.png	(from https://www.alomariya.org/)
12:08:48	43875/43875	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:43%20GMT	https://www.alomariya.org/%d8%b1%d8%a7%d8%b3%d9%84%d9%86%d8%a7/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/%d8%b1%d8%a7%d8%b3%d9%84%d9%86%d8%a7/index.html	(from https://www.alomariya.org/)
12:08:48	28133/28133	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2001:52:36%20GMT	https://www.alomariya.org/wp-content/uploads/2025/06/%d8%a7%d8%ae%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d9%88%d9%82%d8%b9-%d8%ba%d8%a7%d9%85%d9%82-01.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/06/%d8%a7%d8%ae%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d9%88%d9%82%d8%b9-%d8%ba%d8%a7%d9%85%d9%82-01.png	(from https://www.alomariya.org/)
12:08:49	51560/51560	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:43%20GMT	https://www.alomariya.org/%d8%a7%d9%84%d9%81%d8%af%d9%8a%d9%88%d9%87%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/%d8%a7%d9%84%d9%81%d8%af%d9%8a%d9%88%d9%87%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:08:49	26051/26051	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jun%202025%2001:18:37%20GMT	https://www.alomariya.org/wp-content/uploads/2025/06/%d8%b3-%d9%88%d8%ac-%d8%ba%d8%a7%d9%85%d9%82.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/06/%d8%b3-%d9%88%d8%ac-%d8%ba%d8%a7%d9%85%d9%82.png	(from https://www.alomariya.org/)
12:08:50	55146/55146	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:43%20GMT	https://www.alomariya.org/category/%d8%a3%d8%ae%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d9%88%d9%82%d8%b9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a3%d8%ae%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d9%85%d9%88%d9%82%d8%b9/index.html	(from https://www.alomariya.org/)
12:08:50	20953/20953	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2017:03:00%20GMT	https://www.alomariya.org/wp-content/uploads/2024/12/kalima1.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2024/12/kalima1.png	(from https://www.alomariya.org/)
12:08:51	85629/85629	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:45%20GMT	https://www.alomariya.org/%d8%b3%d8%a4%d8%a7%d9%84-%d9%88%d8%ac%d9%88%d8%a7%d8%a8/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/%d8%b3%d8%a4%d8%a7%d9%84-%d9%88%d8%ac%d9%88%d8%a7%d8%a8/index.html	(from https://www.alomariya.org/)
